iter	Passed	Remaining
0	144	144854
1	146	72970
2	147	48933
3	148	36874
4	148	29588
5	149	24706
6	149	21219
7	150	18614
8	150	16594
9	151	14965
10	151	13634
11	152	12528
12	152	11587
13	153	10786
14	153	10091
15	154	9478
16	154	8939
17	155	8459
18	155	8030
19	156	7645
20	156	7300
21	157	6982
22	157	6692
23	158	6426
24	158	6180
25	158	5956
26	159	5746
27	159	5553
28	160	5371
29	160	5199
30	161	5042
31	161	4893
32	162	4754
33	162	4623
34	163	4498
35	163	4380
36	163	4267
37	164	4160
38	164	4061
39	165	3969
40	165	3879
41	166	3794
42	166	3712
43	167	3635
44	167	3562
45	168	3490
46	168	3421
47	169	3354
48	169	3290
49	170	3231
50	170	3173
51	171	3119
52	171	3064
53	171	3012
54	172	2963
55	172	2915
56	173	2869
57	173	2825
58	174	2784
59	175	2741
60	175	2701
61	175	2661
62	176	2623
63	176	2586
64	177	2549
65	177	2514
66	178	2480
67	178	2444
68	178	2412
69	179	2381
70	179	2351
71	180	2322
72	180	2293
73	181	2265
74	181	2238
75	181	2212
76	182	2186
77	182	2161
78	183	2137
79	183	2114
80	184	2091
81	184	2068
82	185	2046
83	185	2024
84	185	2002
85	186	1981
86	186	1959
87	187	1939
88	187	1919
89	187	1900
90	188	1882
91	188	1863
92	189	1845
93	189	1828
94	190	1810
95	190	1794
96	190	1777
97	191	1761
98	191	1745
99	192	1730
100	192	1715
101	192	1698
102	193	1683
103	193	1669
104	194	1655
105	194	1641
106	195	1628
107	195	1614
108	195	1601
109	196	1589
110	196	1576
111	197	1564
112	197	1551
113	198	1539
114	198	1527
115	198	1515
116	199	1503
117	199	1492
118	200	1480
119	200	1470
120	200	1459
121	201	1449
122	201	1437
123	202	1427
124	202	1417
125	203	1408
126	203	1398
127	203	1388
128	204	1378
129	204	1369
130	205	1360
131	205	1351
132	206	1343
133	206	1334
134	207	1326
135	207	1317
136	207	1309
137	208	1300
138	208	1292
139	209	1285
140	209	1277
141	210	1269
142	210	1261
143	210	1253
144	211	1246
145	211	1239
146	212	1231
147	212	1224
148	213	1217
149	213	1210
150	214	1203
151	214	1196
152	214	1189
153	215	1183
154	215	1176
155	216	1169
156	216	1163
157	217	1157
158	217	1151
159	218	1144
160	218	1138
161	219	1132
162	219	1126
163	219	1121
164	220	1115
165	220	1109
166	221	1103
167	221	1097
168	222	1092
169	222	1086
170	223	1081
171	223	1076
172	223	1070
173	224	1065
174	224	1059
175	225	1054
176	225	1049
177	226	1044
178	226	1039
179	227	1034
180	227	1028
181	227	1023
182	228	1018
183	228	1014
184	229	1009
185	229	1005
186	230	1001
187	230	996
188	231	991
189	231	987
190	232	982
191	232	978
192	232	973
193	233	969
194	233	965
195	234	961
196	234	956
197	235	952
198	235	948
199	236	944
200	236	940
201	237	936
202	237	932
203	237	928
204	238	924
205	238	920
206	239	916
207	239	912
208	240	909
209	240	905
210	241	901
211	241	897
212	242	894
213	242	890
214	243	887
215	243	883
216	243	880
217	244	876
218	244	873
219	245	869
220	245	866
221	246	862
222	246	859
223	247	856
224	247	852
225	248	849
226	248	846
227	249	843
228	249	840
229	250	837
230	250	834
231	251	831
232	251	828
